"model","AUC_occ","RMSE","MAE","MedAE","Spearman","Calib","Pred_ZeroShare"
"OLS 2-part (Occ-LPM + Loss-OLS)",0.603008962868118,15.4685362688059,4.52474237040545,1.33122916763021,0.288212436787137,0.371211445683923,0
"SAR 2-part (Occ-SAR-LPM + Loss-SAR)",0.652624839948784,15.3343086613664,5.2187352513275,2.34871565839218,0.252347532005609,0.6155043172661,0
