model_type,AUC_occ,RMSE,MAE,MedianAE,RMSLE,Spearman,BR_rate_down,BR_rate_up,BR_sev_down,BR_sev_up,version,calib_factor
M1: Mixed-ST (OLS) [RAW],0.805729833546735,15.488097934727183,4.181528893761106,0.6436850167494463,0.9401961559280817,0.5553897478401046,0,0.4365079365079365,0.8938989787338351,0.6045313191876959,RAW,NA
M2: Pure-ST (OLS) [RAW],0.8176376440460947,15.490572904285687,4.191579838385764,0.6722069554622712,0.9411001967886805,0.5653406320827294,0,0.4365079365079365,0.8952491964070043,0.6093281244240251,RAW,NA
M3: Pure-STAR (SAR) [RAW],0.8193341869398207,15.497164897935944,4.21974787843689,0.6429805683406261,0.9495698153824421,0.5601204318877594,0,0.4365079365079365,0.8968557176072995,0.6208362627017011,RAW,NA
M4: Mixed-STAR (SAR+X) [RAW],0.8004481434058899,15.49118661501642,4.21291612660733,0.6281514017173302,0.9483314213909761,0.550825890895455,0,0.4365079365079365,0.8948837849102625,0.6167130700111175,RAW,NA
M5: Res-STAR (SDM/Durbin) [RAW],0.8044174135723431,15.491312443051214,4.197963531839528,0.7003016941996706,0.9456080465089246,0.5495363095569676,0,0.4365079365079365,0.8952891142970282,0.6116962596820007,RAW,NA
M1: Mixed-ST (OLS) [CAL],0.805729833546735,15.31427564895746,4.627673022640239,1.1050649931782772,1.0259361207872884,0.5553897478401046,0,0.4365079365079365,0.8513477299657374,0.6810535442080707,CAL,1.7371859014634576
M2: Pure-ST (OLS) [CAL],0.8176376440460947,15.31258670430771,4.653058109697751,1.1487701489850501,1.0298702154477972,0.5653406320827294,0,0.4365079365079365,0.8523417176887702,0.6861647096221575,CAL,1.7547320899497427
M3: Pure-STAR (SAR) [CAL],0.8193341869398207,15.319735806341708,4.708980713753655,1.1414787151009997,1.0462008355040513,0.5601204318877594,0,0.4365079365079365,0.8538943147446991,0.6965707051793206,CAL,1.7700732722311474
M4: Mixed-STAR (SAR+X) [CAL],0.8004481434058899,15.316114737504142,4.690901797689935,1.100897654855829,1.0428103491364948,0.550825890895455,0,0.4365079365079365,0.8520440328087852,0.692174802184784,CAL,1.752599217077344
M5: Res-STAR (SDM/Durbin) [CAL],0.8044174135723431,15.31569140093195,4.663319096644043,1.2249102887082555,1.0357208257976358,0.5495363095569676,0,0.4365079365079365,0.853049929073331,0.6884480776642944,CAL,1.7491179856534917
